Confirmed,Death,Recovered,Full_Vac
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
4,0,1,0
4,0,1,0
7,0,1,0
7,0,1,0
11,0,1,0
15,0,1,0
20,0,1,0
20,0,1,0
20,0,1,0
22,0,1,0
23,0,1,0
23,0,1,0
23,0,1,0
24,0,1,0
24,0,1,0
26,0,4,0
27,0,9,0
28,0,9,0
33,1,9,0
43,1,9,0
54,1,12,0
60,1,12,0
67,1,12,0
79,2,13,0
85,2,18,0
95,2,18,0
112,2,22,0
137,2,22,0
149,2,22,0
160,2,22,0
173,3,22,0
192,3,22,0
218,4,22,0
236,5,22,0
245,6,32,0
259,6,32,0
278,6,32,0
298,6,43,0
333,7,43,0
365,7,43,0
420,7,46,0
466,7,76,0
499,8,76,0
527,10,76,0
585,13,101,0
640,15,118,0
696,19,118,0
733,21,118,0
795,22,118,0
826,24,118,0
843,30,144,0
893,30,144,0
928,32,144,0
968,33,150,0
1022,34,191,0
1059,36,232,0
1104,40,235,0
1144,41,235,0
1217,42,285,0
1314,45,310,0
1416,47,359,0
1530,53,372,0
1728,56,404,0
1907,63,424,0
2001,65,424,0
2255,67,424,0
2535,72,472,0
2818,75,472,0
3154,81,514,0
3525,87,514,0
3876,93,514,0
4110,96,575,0
4485,98,592,0
5020,105,622,0
5614,113,632,0
6250,125,685,0
6951,138,762,0
7473,147,762,0
7773,156,784,0
8277,170,799,0
8835,186,853,0
9398,204,901,0
9958,217,935,0
10548,236,1069,0
10914,255,1159,0
11258,275,1159,0
11641,303,1239,0
12037,323,1356,0
12469,351,1494,0
12854,360,1530,0
13186,379,1656,0
13405,395,1809,0
13576,417,1899,0
13860,436,1899,0
14076,454,2368,0
14284,481,2460,0
14558,510,2975,0
14861,536,3205,0
15061,560,3981,0
15229,582,4156,0
15354,593,4496,0
15455,605,4496,0
15553,617,4918,0
15640,634,5146,0
15755,654,5906,0
15824,666,8127,0
15861,685,8293,0
15948,707,8531,0
15998,726,8920,0
16096,742,9868,0
16148,760,10338,0
16202,778,10338,0
16226,787,11153,0
16259,796,11564,0
16287,805,11564,0
16321,818,11564,0
16362,826,12672,0
16385,836,13005,0
16410,845,13244,0
16451,852,13413,0
16472,857,13612,0
16502,863,13810,0
16528,870,13973,0
16598,881,14096,0
16673,887,14213,0
16716,894,14267,0
16751,898,14342,0
16787,899,14463,0
16837,902,14585,0
16867,905,14702,0
16911,911,14785,0
16958,916,14925,0
17000,915,14927,0
17039,917,14990,0
17060,920,15043,0
17111,920,15141,0
17146,922,15217,0
17187,922,15233,0
17250,924,15362,0
17293,927,15458,0
17369,927,15514,0
17439,929,15567,0
17484,934,15652,0
17530,935,15753,0
17588,935,15753,0
17658,951,15844,0
17725,955,15948,0
17780,955,15948,0
17820,955,15957,0
17879,965,16096,0
17963,967,16101,0
18055,971,16142,0
18162,971,16224,0
18254,971,16293,0
18366,972,16327,0
18476,972,16388,0
18615,972,16458,0
18838,976,16563,0
19055,977,16615,0
19185,977,16721,0
19461,977,16832,0
19668,977,16870,0
19848,978,17007,0
20055,981,17057,0
20261,982,17057,0
20617,982,17412,0
21044,982,17494,0
21430,982,17494,0
21841,983,17845,0
22125,984,18058,0
22437,984,18126,0
23172,984,18126,0
23510,985,18641,0
24104,985,18944,0
24946,986,19211,0
25446,986,19211,0
25706,988,19603,0
26463,988,20001,0
27136,990,20482,0
28114,992,20878,0
28883,994,21173,0
29684,996,21464,0
30548,998,21606,0
31142,998,21970,0
32116,1001,22636,0
33382,1001,23351,0
35144,1007,24024,0
36234,1008,24774,0
37804,1012,25347,0
39116,1013,25748,0
40099,1018,26476,0
41347,1023,27187,0
42686,1028,28020,0
44167,1034,28858,0
45764,1042,30241,0
47342,1042,31248,0
48782,1047,32867,0
49617,1052,33450,0
50302,1058,34136,0
51288,1066,34969,0
52471,1073,36191,0
53818,1080,35498,0
55051,1093,39439,0
56074,1103,40560,0
56717,1112,41591,0
57636,1135,42965,0
58728,1148,43786,0
59900,1157,45110,0
60949,1175,46264,0
61916,1179,47418,0
62658,1188,48319,0
63158,1201,49089,0
63888,1219,50092,0
64779,1230,51407,0
65653,1241,52542,0
66499,1251,53691,0
67353,1271,54883,0
67958,1285,55700,0
68396,1298,56338,0
69023,1313,57503,0
69619,1327,58108,0
70278,1334,58200,0
70866,1352,60093,0
71467,1361,61099,0
71918,1366,61730,0
72213,1377,62190,0
72724,1398,62936,0
73264,1412,63734,0
73916,1416,64489,0
74558,1428,65244,0
75206,1441,65934,0
75646,1448,66524,0
75914,1455,66901,0
76446,1463,66901,0
76997,1481,68110,0
77488,1490,68827,0
78061,1500,69468,0
78662,1504,70051,0
79142,1508,70604,0
79462,1518,70970,0
79773,1519,71214,0
80009,1525,71547,0
80490,1540,72066,0
81054,1544,73016,0
81703,1547,73677,0
82186,1549,73677,0
82484,1561,74495,0
83022,1568,74962,0
83591,1575,75522,0
84244,1580,76081,0
84768,1591,76700,0
85345,1594,76700,0
85746,1598,77851,0
86027,1602,78071,0
86540,1609,78521,0
87039,1614,79123,0
87679,1617,79674,0
88267,1623,80140,0
88962,1626,80798,0
89400,1628,81266,0
89652,1631,81552,0
90153,1635,82063,0
90694,1646,82576,0
91402,1650,83272,0
92044,1664,83882,0
92670,1670,84461,0
93098,1672,84461,0
93408,1676,85310,0
93895,1679,85867,0
94515,1686,86429,0
95134,1697,87022,0
95868,1706,87600,0
96599,1710,88138,0
97095,1716,88610,0
97503,1721,89031,0
98146,1726,89465,0
98877,1731,90118,0
99674,1748,90624,0
100450,1756,91184,0
101327,1769,89765,0
101943,1776,92250,0
102431,1787,92673,0
103309,1794,93133,0
103928,1799,93564,0
104964,1806,94376,0
106136,1810,95010,0
107439,1815,95703,0
108394,1821,96430,0
109191,1834,96684,0
110487,1840,98487,0
112011,1847,98305,0
113655,1854,99282,0
115360,1864,100197,0
117113,1865,101162,0
118611,1874,91954,0
119557,1883,102810,0
121247,1895,103778,0
123477,1908,104837,0
125859,1920,106074,0
128285,1930,107521,0
130871,1932,108981,0
133034,1943,110273,0
134554,1949,111343,0
135786,1963,112385,0
137735,1983,114569,0
140225,1996,116222,0
142778,2028,117709,0
145457,2042,120103,0
147515,2057,121735,0
148962,2076,127289,0
150976,2109,125304,0
153432,2141,127148,0
155938,2174,129085,0
158387,2210,131020,0
160870,2229,133287,0
162917,2259,135121,0
164434,2299,136747,0
166592,2334,138838,0
169429,2376,140466,0
172406,2395,142850,0
175310,2446,144858,0
178272,2462,147368,0
180639,2481,149130,0
182311,2530,150791,0
184752,2581,153363,0
187751,2623,155391,0
190950,2661,158131,0
193753,2709,160630,0
196815,2749,163152,0
199270,2784,165177,0
201074,2833,167357,0
203732,2877,169186,0
207007,2941,171959,0
210769,2967,174723,0
214575,3016,177637,0
218467,3062,180032,0
221412,3100,182440,0
223786,3152,184506,0
227415,3196,186790,0
231271,3243,189310,0
235811,3292,191295,0
239068,3540,193558,0
242097,3571,196264,0
245293,3631,198330,0
248625,3679,200520,0
253571,3755,203265,0
259521,3820,206883,0
267084,3884,210295,0
274947,3962,213581,0
282737,4021,217213,0
288818,4066,220380,0
293746,4114,222807,0
298321,4178,225240,0
304140,4275,228917,0
310734,4341,233509,0
317871,4419,238311,0
324942,4475,243817,0
330715,4524,248332,0
335605,4582,252631,0
340989,4686,257563,0
346508,4778,264831,0
352129,4872,273031,0
357174,4980,279058,0
361928,5063,285366,0
365899,5119,290386,0
368684,5193,290386,0
372545,5297,301384,0
376482,5387,308008,0
380644,5500,314278,0
384180,5597,320092,0
387499,5688,325436,0
390166,5753,325436,0
391956,5833,333969,0
394269,5952,339221,0
396900,6068,343981,0
399492,6172,349176,0
401858,6278,354317,0
404128,6372,358716,0
405765,6424,362075,0
406992,6507,365082,0
408550,6602,368657,0
410434,6723,372379,0
412125,6800,375298,0
413441,6863,377868,0
414803,6928,380413,0
416154,6966,382730,0
417127,7038,384941,0
418435,7139,387584,0
419896,7218,391052,0
421421,7294,393338,0
422718,7360,395336,0
423952,7438,397137,0
424988,7485,398765,0
425725,7541,400094,0
426828,7595,401653,0
427732,7664,403225,0
428816,7738,405101,0
429873,7818,406428,0
431093,7859,407864,0
432090,7889,409163,0
432778,7940,410448,0
433700,8005,411959,0
434944,8068,413178,0
436093,8135,413178,0
437222,8190,415868,0
437634,8196,417136,0
439356,8255,418105,0
439977,8301,418105,0
441152,8359,420104,0
442411,8412,421265,0
443714,8457,422386,0
444977,8515,423463,0
446312,8566,424529,0
447287,8587,425507,0
448000,8625,425507,0
449142,8682,427426,0
450687,8718,428627,0
452147,8750,429742,0
453616,8783,430771,0
455212,8802,431972,35
456318,8821,431972,443
457104,8857,434118,3348
458621,8908,435205,7877
460595,8929,436307,9347
462506,8956,437546,14289
464483,8989,438723,18289
466563,9021,438723,25381
468346,9050,438723,29129
469636,9079,442213,31756
471777,9112,443484,35079
474641,9155,444868,37450
477239,9173,446260,41204
479953,9191,447559,64958
482704,9198,448935,96785
485226,9210,450468,125580
486792,9229,451999,156797
489407,9251,453899,183357
492860,9286,455226,240246
496351,9311,456894,292508
499831,9325,458684,356679
503537,9352,458684,421221
506237,9369,463569,490819
508350,9393,465760,560905
511799,9422,468614,600995
517281,9471,470851,642422
521796,9506,473414,678405
526307,9552,475598,718396
531109,9593,478222,718396
535220,9610,480637,718396
537494,9629,482896,772703
542467,9682,485920,800500
547836,9737,488788,827196
553362,9778,491505,849051
558376,9834,494726,878734
563998,9890,498086,878734
568621,9939,501453,878734
571904,9968,504582,920385
576870,10031,508232,951490
580666,10052,508262,995758
588580,10160,515404,995758
593264,10199,518891,1042998
599253,10281,523071,1042998
605150,10342,527077,1042998
609625,10391,530913,1043830
613822,10441,534680,1044616
617890,10501,538790,1045490
622273,10566,542413,1115729
628319,10712,545886,1167267
635568,10796,551137,1173857
642146,10860,555245,1180980
647003,10931,559397,1271007
653363,11045,563972,1382989
660884,11148,568402,1521730
667251,11249,573757,1686429
673539,11330,579290,1863630
679870,11424,584614,1890408
685135,11471,589888,1909184
688873,11587,595021,2165469
694077,11803,602200,2373580
699931,11900,608930,2607228
705641,12006,615168,2737634
710895,12119,621452,2929426
715880,12203,628366,2966090
719925,12265,633947,2988582
722668,12351,639731,3191335
726586,12457,645001,3253157
731071,12573,649955,3313590
735234,12691,655066,3414089
738935,12786,659576,3529351
742539,12877,666786,3583682
745392,12926,671616,3646831
747188,13006,675721,3875243
749829,13107,680465,4070244
752865,13220,685209,4287154
755713,13331,690467,4497664
758290,13417,694854,4700266
760953,13481,699585,4820405
762980,13531,703369,4996823
764185,13606,706488,5306088
766068,13705,710060,5609006
768313,13801,713651,5973424
770357,13872,717726,6335846
772293,13936,721104,6673808
774240,13991,724648,6937242
775624,14023,727574,7248247
776565,14083,730290,7763473
777979,14150,733160,8287122
779696,14230,736785,8864338
781241,14277,740057,9435061
782877,14325,742692,9976859
784384,14353,746275,10401023
785702,14373,748475,10831191
786566,14408,750274,11434749
788009,14451,752271,12056611
789787,14509,754178,12712142
791452,14551,756137,13374585
793179,14582,758017,14060085
794805,14611,760087,14625295
796077,14621,761756,15151880
797084,14659,763208,15837190
798485,14689,764757,16550773
800305,14730,766460,17251856
802038,14754,768172,17912770
803812,14779,769852,18574177
805696,14788,771628,19154665
807180,14793,773324,19679406
808220,14812,774886,20282357
809909,14834,776490,20880533
812089,14848,778336,21448451
814319,14865,779855,22008097
816593,14885,781457,22537537
819051,14896,783273,23067588
821083,14902,783291,23609086
822594,14905,786425,24146327
824990,14923,787975,24626859
828201,14943,789749,25023470